tier,quality_score,ts_code,name,source_batch,tags,market_cap_hkd,turnover_hkd,pb,pe_ttm,cash_to_liab,net_cash_to_mv,shareholder_return_yield,div_paid_years,latest_payout,profit_trend,revenue_trend,cfo_profit_avg4,oneoff_latest,screen_score,hard_flags,governance_grade,governance_score,governance_action,governance_notes,hkex_regulatory_hits,sfc_enforcement_hits,dilution_count,capital_reorg_count,connected_count,delay_suspend_count,audit_count,investigation_count,winding_count,offer_privatisation_count,director_auditor_change_count,profit_warning_count,evidence_titles,hkex_regulatory_evidence,sfc_evidence
A,124.43979981367944,00536.HK,贸易通,补充宽筛,,875664591.0,635900.0,2.28,10.42,2.9276272772727854,0.3101686149143376,0.0827835583453436,4,0.9551567372003904,稳定,稳定,0.970471261037818,,116.26070738805774,无明显硬伤,Clean,4,暂未命中明显治理红旗,盈利警告 2 次,0,0,0,0,0,0,0,0,0,0,0,2,profit_warning: PROFIT WARNING UPDATE ANNOUNCEMENT || profit_warning: PROFIT WARNING,,
A,124.16501245278693,01425.HK,捷隆控股,原始初筛,,787500000.0,72600.0,0.84,4.72,4.7546256835953,0.8134313299047619,0.0802862222222222,4,0.4197926224445124,稳定,稳定,1.2251759554381398,0.1765467858877714,119.49258992060732,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION: ACQUISITION OF THE REMAINING EQUITY INTEREST IN A NON-WHOLLY OWNED SUBSIDIARY,,
A,120.80758244450654,00239.HK,白花油,原始初筛,消费,741703200.0,76825.0,1.03,8.12,3.2618389411697875,0.2909349548175065,0.0702260566760396,4,0.631313905370788,稳定,稳定,1.244850042760275,-0.0158737109451973,119.59907080838806,无明显硬伤,Clean,8,暂未命中明显治理红旗,盈利警告 7 次,0,0,0,0,0,0,0,0,0,0,0,7,profit_warning: PROFIT WARNING || profit_warning: PROFIT WARNING,,
A,119.50137975175006,01571.HK,信邦控股,原始初筛,,3770320180.0,5177020.0,0.92,6.43,1.378211515993295,0.0782172298162751,0.1226370647386238,4,0.8735047417538822,稳定,稳定,1.496532172606412,0.1669002909283258,117.46103395529738,无明显硬伤,Clean,2,暂未命中明显治理红旗,盈利警告 1 次,0,0,0,0,0,0,0,0,0,0,0,1,profit_warning: PROFIT WARNING,,
A,116.60817744568764,01681.HK,康臣药业,补充宽筛,医药,10707272915.0,10470732.0,2.15,8.97,2.482895112625807,0.2177340596907723,0.0625827888501149,4,0.465714097546813,同比增长,同比增长,1.187386501208867,0.0488364823336582,109.95250472964506,无明显硬伤,Clean,0,暂未命中明显治理红旗,未命中官方处分或高风险公告模式,0,0,0,0,0,0,0,0,0,0,1,0,director_auditor_change: RESIGNATION OF INDEPENDENT NON-EXECUTIVE DIRECTOR AND CHANGE IN COMPOSITION OF BOARD COMMITTEES,,
A,114.75883139437094,02610.HK,南山铝业国际,原始初筛,,18203568768.0,17176896.0,1.19,5.73,1.1395360145070548,0.0188369661119847,0.1221203775771623,3,0.7743690442379072,稳定,稳定,1.3805219089101588,0.0795929759957691,110.90384642169133,无明显硬伤,Clean,12,暂未命中明显治理红旗,稀释融资/配股供股 2 次,0,0,2,0,0,0,0,0,0,0,0,0,dilution: COMPLETION OF PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE || dilution: PLACING OF EXISTING SHARES AND TOP-UP SUBSCRIPTION OF NEW SHARES UNDER GENERAL MANDATE,,
A,114.0850835715998,02076.HK,BOSS直聘-W,补充宽筛,,50559895584.0,1835745.0,2.17,13.39,4.445158387296924,0.3057431749303669,0.0137620537377097,2,0.2021723076473126,同比增长,稳定,4.006132843359512,-0.0080615206884701,106.33474500394706,无明显硬伤,Clean,6,暂未命中明显治理红旗,稀释融资/配股供股 1 次,0,0,1,0,0,0,0,0,0,0,0,0,dilution: INSIDE INFORMATION ISSUE OF NEW SHARES UNDER GENERAL MANDATE AND SIGNING OF PUBLIC OFFER UNDERWRITING AGREEMENT ANNOUNCEMENT OF THE SHARE OFFER,,
A,113.9311469724656,00887.HK,英皇钟表珠宝,原始初筛,,1712583118.0,457550.0,0.3,3.74,1.5584931810461056,0.3043363496241122,0.0382719910357075,4,0.1582925424704866,同比增长,稳定,2.36901423906955,-0.1232385763770733,105.96188480771367,无明显硬伤,Clean,14,暂未命中明显治理红旗,稀释融资/配股供股 1 次；关联交易 4 次,0,0,1,0,4,0,0,0,0,0,0,0,dilution: Placing of New Shares under General Mandate || connected: Documents on Display - Discloseable and Connected Transaction || connected: (I) Discloseable and Connected Transaction - Acquisition of Entire Equity Interest in Target Company and (II) Notice of Extraordinary General Meeting,,
A,112.08673959906446,00999.HK,小菜园,补充宽筛,消费,7465494764.0,3208040.0,2.77,9.43,1.0957639279726317,0.0174131794488524,0.0836187044173245,4,0.872971589669581,同比增长,稳定,1.6589683205116028,0.0836046270969329,105.08683738165934,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION - ESTABLISHMENT OF A JOINT VENTURE,,
A,111.5864663026178,03316.HK,滨江服务,补充宽筛,,6014616320.0,6279424.0,3.25,9.12,1.0550490556638517,0.0289554629479673,0.0718652657132417,4,0.7258374362728964,稳定,稳定,1.7574966429276409,0.0240366208346487,94.47168026583569,无明显硬伤,Clean,2,暂未命中明显治理红旗,关联交易 1 次,0,0,0,0,1,0,0,0,0,0,0,0,connected: CONNECTED TRANSACTION AND CONTINUING CONNECTED TRANSACTIONS - REVISION OF TERMS OF EXISTING SALES AGENCY SERVICES FRAMEWORK AGREEMENT AND RENEWAL OF AGREEMENTS DUE TO EXPIRE IN 2021,,
