ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source
01981.HK,20251231,1482347000.0,1095305000.0,696442000.0,,785905000.0,2.1284572153890777,0.7659437849763583,787734000.0,0.0624589911564728,301002000.0,0.46126910688649225,3,581529000.0,4,1.9319771961648096,0.02769416814506216,,90607000.0,,90607000.0,,0.08830567120116668,132.87028947154946,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,华夏控股,华夏集团控股有限公司,主板,20200715,0.62,1026060939.9999999,1026060939.9999999,297210.0,0.3851515151515151,3.0812121212121206,3.0812121212121206,568916.5,255740.0,2026/06/25 15:10:38,tencent,cache
01358.HK,20251231,1807841000.0,1802841000.0,381521000.0,22001000.0,1426320000.0,4.738509806799626,0.8905765897918658,823505000.0,0.1533051540475141,94374000.0,-0.0381082879584852,4,240704000.0,4,2.5505329857799817,0.28429440311950327,,130354000.0,19759000.0,150113000.0,,0.09372870297228277,130.19413773175094,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,普华和顺,普华和顺集团公司,主板,20131108,1.11,1601569159.0695655,1601569159.0695655,306850.0,0.37643478260869573,15.327652173913048,15.327652173913048,630670.85,470115.0,2026/06/25 15:02:58,tencent,cache
00327.HK,20251231,3737294038.9,3681980846.1,1812558412.28,55518223.739999995,1924735626.6200001,2.061888882355462,0.5459548674638888,5304195578.8,-0.0969355960926771,680654850.14,-0.15539220144797883,4,1178258618.98,4,1.7310662206221712,0.12093626880506167,,478576536.32,8944587.66,487521123.98,,0.13828628043621483,130.02472838977926,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,百富环球,百富环球科技有限公司,主板,20101220,3.32,3525448240.0,3525448240.0,6146870.0,0.4483908045977011,4.674712643678161,4.674712643678161,22088557.352,15674019.25,2026/06/25 15:10:40,tencent,cache
02518.HK,20251231,19239126000.0,2175493000.0,4013346000.0,,15225780000.0,4.79378702957582,0.8109159649109272,6452030000.0,-0.02404820933104379,1442830000.0,-0.08037626518137564,4,889462000.0,4,0.6164704088492754,0.1396657956931863,,1481245000.0,1051983000.0,2533228000.0,,0.13491821292304093,126.62290385742331,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,汽车之家-S,汽车之家,主板,20210315,36.86,18776026936.0,744365584.0,346174.0,0.7244161849710983,14.89314450867052,14.89314450867052,365329.628,203499.28,2026/06/25 15:11:45,tencent,cache
00623.HK,20251231,727829000.0,655031000.0,107210000.0,831000.0,620619000.0,6.788816341759164,0.6983636671950851,382288000.0,-0.19005542437736633,80043000.0,0.24628092479839103,4,39424000.0,3,0.4925352622965156,0.057144284946841074,,149920000.0,717000.0,150637000.0,,0.1695072302576396,126.35398785009922,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中视金桥,中视金桥国际传媒控股有限公司,主板,20080708,1.91,888675956.6010362,888675956.6010362,244480.0,0.4255440414507772,10.025025906735753,10.025025906735753,738561.0,676920.0,2026/06/25 15:11:53,tencent,cache
06826.HK,20251231,2522083000.0,2445974000.0,1115560000.0,398498000.0,1406523000.0,2.260822367241565,0.38830637478783064,2446306000.0,0.05162367567282544,251009000.0,0.11624987961755484,4,490973000.0,4,1.9559975937117793,0.8133493221358596,,282277000.0,148623000.0,430900000.0,,0.11896088218683679,126.11395312907136,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,昊海生物科技,上海昊海生物科技股份有限公司,主板,20150430,15.75,3622199096.7017207,565882380.4015297,1742344.0,0.5922562141491395,13.752390057361376,13.752390057361376,4135779.19,3593816.95,2026/06/25 15:03:18,tencent,cache
02660.HK,20251231,2281202000.0,1488904000.0,258659000.0,18818000.0,2022543000.0,8.819341294909513,0.9036663278309686,1545598000.0,-0.04372534518476956,347787000.0,-0.20059250819902275,4,242400000.0,4,0.6969783229390403,0.26945803034616017,,323417000.0,18407000.0,341824000.0,,0.15272596866642293,124.78914130067344,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,禅游科技,禅游科技控股有限公司,主板,20190416,2.16,2238152443.7837834,2238152443.7837834,567400.0,0.7783783783783784,5.808648648648648,5.808648648648648,796557.338,713370.0,2026/06/25 14:45:14,tencent,cache
01180.HK,20251231,683054705.68,683054705.68,220653936.34,108726010.72,462400769.3399999,3.095592659754315,0.5859560577493738,181768508.9,-0.11923372104455698,127840855.58,,3,228946399.16,3,1.7908703608192795,0.18611124848981553,,179458072.14,,179458072.14,,0.2274099686999823,123.46892482866643,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,汇彩控股,汇彩控股有限公司,主板,19970120,0.75,789138986.1486487,789138986.1486487,557040.0,1.7635135135135136,5.574324324324325,5.574324324324325,759476.0325,403420.5,2026/06/25 14:37:42,tencent,cache
03315.HK,20251231,1259341000.0,1259341000.0,420600000.0,7183000.0,838741000.0,2.9941535901093674,1.5307018933420657,930819000.0,-0.15270588648831462,40116000.0,-0.35199225265989553,4,160335000.0,4,3.996784325456177,0.8738657892112872,,40172000.0,3110000.0,43282000.0,,0.07898962772492496,122.17065379374412,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,金邦达宝嘉,金邦达宝嘉控股有限公司,主板,20131204,0.68,547945360.0000001,547945360.0000001,188110.0,0.24637681159420294,12.338550724637683,12.338550724637683,447348.0,350695.0,2026/06/25 15:03:14,tencent,cache
02469.HK,20251231,1222741000.0,1035196000.0,540209000.0,65108000.0,682532000.0,2.2634591426651536,0.7629986785399695,2676628000.0,-0.016128305753913774,198126000.0,,3,226322000.0,3,1.1423134772821335,0.1437317666535437,,,152295000.0,152295000.0,,0.1702497227210514,121.62170547505406,现金类资产>总负债;近年盈利稳定;经营现金流稳定;股东回报率较高,粉笔,粉笔有限公司,主板,20230109,0.405,894538901.8314607,894538901.8314607,1723396.27,0.6188764044943821,4.077303370786518,4.077303370786518,6352401.284,4254155.25,2026/06/25 15:10:48,tencent,cache
02877.HK,20251231,14754734000.0,14378094000.0,2715321000.0,334902000.0,12039413000.0,5.433882034573444,1.9282034321772625,3135419000.0,-0.07414525582392506,949948000.0,0.09538293484635951,4,1172033000.0,4,1.23378648094422,0.6241225835519418,,355038000.0,,355038000.0,,0.056862032239723886,121.34708921377481,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,神威药业,中国神威药业集团有限公司,主板,20041202,7.55,6243850000.0,6243850000.0,3017685.0,0.6964572192513367,5.935026737967914,5.935026737967914,8779304.05,8242523.0,2026/06/25 15:05:32,tencent,cache
